Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   409264    0.153    0.000    0.546    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   216666    0.152    0.000    0.469    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:165(is_parameterized)
   216666    0.140    0.000    0.665    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:267(<lambda>)
   144444    0.140    0.000    1.140    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\u3.py:62(__init__)
   164507    0.139    0.000    0.139    0.000 {method 'match' of 're.Pattern' objects}
   164507    0.136    0.000    0.809    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:68(<listcomp>)
   108333    0.136    0.000    0.136    0.000 {method 'item' of 'numpy.generic' objects}
  1059256    0.135    0.000    0.135    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:3126(_around_dispatcher)
     4013    0.134    0.000   48.869    0.012 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passmanager.py:257(_run_single_circuit)
   380260    0.134    0.000    0.483    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\_asarray.py:16(asarray)
     4013    0.132    0.000   95.797    0.024 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:53(expectation)
   637967    0.131    0.000    0.131    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:72(qargs)
   324999    0.131    0.000    0.131    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagnode.py:68(op)
   120370    0.131    0.000    0.170    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\controlledgate.py:132(definition)
    40130    0.127    0.000    0.173    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:192(_log_pass)
