Tue Jun 23 13:33:19 2020    pso-static

         15241129 function calls (15186465 primitive calls) in 14.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11000    0.020    0.000    0.155    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\x.py:188(__init__)
    18700    0.019    0.000    0.067    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumregister.py:28(__init__)
    18641    0.018    0.000    0.022    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\reportviews.py:906(__init__)
     5500    0.018    0.000    0.232    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:1679(rz)
   157300    0.018    0.000    0.018    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:60(index)
5500/3300    0.018    0.000    0.166    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\marshmallow\schema.py:527(dump)
    59400    0.018    0.000    0.023    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2799(<genexpr>)
     1100    0.018    0.000    5.307    0.005 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passmanager.py:257(_run_single_circuit)
     4400    0.018    0.000    0.198    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:1580(h)
5500/3300    0.017    0.000    0.119    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\marshmallow\schema.py:501(_serialize)
    27500    0.017    0.000    0.420    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:541(<listcomp>)
    46845    0.017    0.000    0.051    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\_asarray.py:16(asarray)
    11280    0.017    0.000    0.039    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:197(_update_valid_passes)
    25300    0.017    0.000    1.298    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\util.py:105(wrapper)
    16500    0.017    0.000    0.098    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:68(<listcomp>)
    18643    0.017    0.000    0.051    0.000 <__array_function__ internals>:2(copyto)
    17541    0.017    0.000    0.021    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\result\postprocess.py:38(_separate_bitstring)
     1100    0.016    0.000    5.257    0.005 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:95(run)
   112200    0.016    0.000    0.016    0.000 {built-in method builtins.next}
     3300    0.016    0.000    0.055    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:605(add_register)
     1100    0.016    0.000    6.956    0.006 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\execute.py:40(execute)
    41800    0.016    0.000    0.055    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    16700    0.016    0.000    0.092    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\u1.py:78(__init__)
    11000    0.016    0.000    0.066    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\marshmallow\schema.py:1192(_invoke_processors)
     1100    0.015    0.000    4.063    0.004 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\concurrent\futures\_base.py:408(result)
    19842    0.015    0.000    0.015    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:83(<listcomp>)
    20900    0.015    0.000    0.206    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:3010(bind)
    19842    0.015    0.000    0.046    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:165(is_parameterized)
    11000    0.015    0.000    0.017    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\controlledgate.py:142(ctrl_state)
     4400    0.014    0.000    0.178    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:1637(rx)
