Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    76247    0.088    0.000    0.088    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:54(__init__)
    76247    0.025    0.000    0.025    0.000 {method 'values' of 'mappingproxy' objects}
    76247    0.013    0.000    0.013    0.000 {method 'items' of 'collections.OrderedDict' objects}
    76247    0.013    0.000    0.013    0.000 {built-in method sys.getrecursionlimit}
    75308    0.070    0.000    0.178    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\graph.py:1242(edges)
    75308    0.091    0.000    0.107    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\reportviews.py:906(__init__)
    72242    0.043    0.000    0.060    0.000 {method 'add' of 'set' objects}
    71297    0.023    0.000    0.033    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\graph.py:430(__len__)
    67284    0.012    0.000    0.012    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\multiarray.py:1043(copyto)
    67284    0.063    0.000    0.205    0.000 <__array_function__ internals>:2(copyto)
    67284    0.122    0.000    0.410    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\numeric.py:283(full)
    67284    0.033    0.000    0.047    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\graph.py:398(__iter__)
    67284    0.055    0.000    0.078    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\graph.py:1345(adjacency)
    67284    0.009    0.000    0.009    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\graph.py:1424(is_multigraph)
    67284    0.010    0.000    0.010    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\graph.py:1428(is_directed)
    67284    1.339    0.000    2.078    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\convert_matrix.py:980(to_numpy_array)
    67284    0.089    0.000    0.089    0.000 {built-in method builtins.sum}
    67284    0.049    0.000    0.049    0.000 {built-in method numpy.empty}
    63278    0.009    0.000    0.009    0.000 {method 'join' of 'str' objects}
    63271    0.547    0.000    0.861    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:23(<listcomp>)
    63271    0.355    0.000    3.394    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:15(objective)
    63271    0.092    0.000    0.092    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:60(<listcomp>)
    63271    0.085    0.000    0.334    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:59(bitstring_to_array)
    63271    0.057    0.000    0.070    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\result\postprocess.py:22(_hex_to_bin)
    63271    0.048    0.000    0.125    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\result\postprocess.py:32(_pad_zeros)
