,angles,backend,distribution,energy,graph_atlas index,iterations,max-cut objective,noise,optimizer,optimum,p,solution,solution objective,time,topology
25,[-290849.5161994   223691.3110726  -213219.95253445 -171922.95547251],qasm_simulator,"{'0000': 6, '0111': 21, '1000': 29, '1010': 2, '0101': 5, '0011': 13, '1001': 6, '1011': 1, '0100': 1, '0110': 9, '1100': 7}",-0.71413609559172,13.0,,-2.21413609559172,0.0,SPSA,3.0,2.0,[1 1 1 0],3.0,10.263874292373657,0.0
26,"[-109505.70297922  -51814.34574288  278955.78708959  -53006.61043606
  116701.22662526  196375.5411609 ]",qasm_simulator,"{'0000': 35, '0111': 6, '1000': 1, '1110': 4, '1111': 31, '0001': 3, '0101': 1, '1001': 1, '1101': 3, '1011': 4, '0100': 5, '0010': 2, '1100': 4}",0.89391673873658,13.0,,-0.60608326126342,0.0,SPSA,3.0,3.0,[1 1 1 1],0.0,15.04370379447937,0.0
27,[-113765.1256882   139326.56203233],qasm_simulator,"{'0111': 4, '1000': 4, '0001': 8, '0011': 7, '1001': 8, '1101': 4, '0100': 7, '0010': 4, '0110': 4, '0000': 5, '1010': 7, '1110': 4, '1111': 5, '0101': 9, '1011': 8, '1100': 12}",-0.12143369719775,14.0,,-1.62143369719775,0.0,SPSA,3.0,1.0,[1 1 0 0],2.0,7.316094398498535,0.0
28,[-243581.54333977  115294.92408573  185434.55852913  297576.54608513],qasm_simulator,"{'0000': 8, '0111': 7, '1000': 4, '1110': 11, '1111': 12, '0001': 7, '0101': 6, '0011': 6, '1001': 1, '1101': 9, '1011': 3, '0100': 1, '0010': 12, '0110': 6, '1100': 7}",0.05238875342391,14.0,,-1.44761124657609,0.0,SPSA,3.0,2.0,[1 0 1 1],2.0,10.378231525421143,0.0
29,"[-113619.52531275  -40540.3447946   -51007.70107774  -86185.79443514
 -156272.09524042 -310911.25834696]",qasm_simulator,"{'0111': 4, '1000': 6, '0001': 7, '0011': 2, '1001': 3, '1101': 7, '0100': 3, '0010': 3, '0110': 5, '0000': 3, '1010': 12, '1110': 8, '1111': 4, '0101': 15, '1011': 8, '1100': 10}",-0.2973063843077,14.0,,-1.7973063843077,0.0,SPSA,3.0,3.0,[0 1 0 1],3.0,13.83525538444519,0.0
30,[240332.38043914  32296.28000424],qasm_simulator,"{'0111': 4, '1000': 4, '0001': 8, '0011': 5, '1001': 6, '1101': 6, '0100': 8, '0010': 4, '0110': 10, '0000': 11, '1010': 3, '1110': 5, '1111': 16, '0101': 2, '1011': 6, '1100': 2}",0.54977850282603,15.0,,-1.45022149717397,0.0,SPSA,3.0,1.0,[0 0 0 0],0.0,7.512296199798584,0.0
31,[-155733.33121669 -201140.83638821  169297.09579272 -203123.28151686],qasm_simulator,"{'0111': 4, '1000': 2, '0001': 5, '0011': 2, '1001': 12, '1101': 5, '0100': 7, '0010': 7, '0110': 8, '0000': 12, '1010': 1, '1110': 7, '1111': 17, '0101': 3, '1011': 7, '1100': 1}",0.55283820139342,15.0,,-1.44716179860658,0.0,SPSA,3.0,2.0,[0 0 0 0],0.0,11.160496711730957,0.0
32,"[ 36794.07236449 213525.79604858  36968.49476127  79229.29588299
 170080.21063904 107280.24041102]",qasm_simulator,"{'0000': 5, '0111': 13, '1000': 9, '1010': 7, '1110': 11, '1111': 4, '0001': 5, '0101': 4, '0011': 3, '1001': 11, '1011': 3, '0100': 1, '0010': 8, '0110': 11, '1100': 5}",0.01781477766589,15.0,,-1.98218522233411,0.0,SPSA,3.0,3.0,[0 0 0 1],3.0,14.392635822296143,0.0
33,[ 63804.59672855 -65640.36594936],qasm_simulator,"{'0111': 11, '1000': 6, '0001': 6, '0011': 5, '1001': 7, '1101': 5, '0100': 8, '0010': 7, '0110': 4, '0000': 9, '1010': 9, '1110': 3, '1111': 2, '0101': 8, '1011': 4, '1100': 6}",-0.12909934971686,16.0,,-2.12909934971686,0.0,SPSA,4.0,1.0,[0 0 0 1],2.0,8.172993659973145,0.0
34,[ -2798.63507978  65296.80176025  67455.29602986 119778.98781334],qasm_simulator,"{'0111': 2, '1000': 4, '0001': 5, '0011': 1, '1001': 1, '1101': 6, '0100': 6, '0010': 8, '0110': 1, '0000': 7, '1010': 14, '1110': 5, '1111': 15, '0101': 20, '1011': 3, '1100': 2}",-0.27946514221674,16.0,,-2.27946514221674,0.0,SPSA,4.0,2.0,[0 1 0 1],4.0,11.372420072555542,0.0
35,"[-228286.34828664    3130.08334642 -224740.51249944   34055.58074622
   78142.29235059  -50942.1372567 ]",qasm_simulator,"{'0000': 1, '1000': 2, '1010': 37, '1110': 2, '1111': 3, '0001': 3, '0101': 30, '0011': 7, '1001': 3, '1101': 2, '1011': 2, '0100': 1, '0010': 2, '0110': 2, '1100': 3}",-1.23933283327869,16.0,,-3.2393328332786897,0.0,SPSA,4.0,3.0,[1 0 1 0],4.0,14.597182512283325,0.0
36,[-30790.17698252  73601.26181267],qasm_simulator,"{'0111': 1, '1000': 8, '0001': 9, '0011': 6, '1001': 7, '1101': 9, '0100': 8, '0010': 7, '0110': 7, '0000': 2, '1010': 7, '1110': 4, '1111': 5, '0101': 7, '1011': 7, '1100': 6}",-0.02194972541473,17.0,,-2.52194972541473,0.0,SPSA,4.0,1.0,[0 1 0 0],2.0,8.031102657318115,0.0
37,[ -28559.10209139 -130308.44356092  217451.48020671   82541.51928253],qasm_simulator,"{'0000': 2, '0111': 8, '1000': 7, '1010': 10, '1110': 7, '0001': 9, '0101': 12, '0011': 5, '1001': 3, '1101': 6, '1011': 4, '0100': 4, '0010': 8, '0110': 7, '1100': 8}",-0.35635803645803,17.0,,-2.85635803645803,0.0,SPSA,4.0,2.0,[0 1 0 1],4.0,12.404795169830322,0.0
38,"[ -73630.5282745  -179503.21638229  219212.14640789  -31487.65074748
 -219050.38453849 -161450.11885261]",qasm_simulator,"{'0111': 5, '1000': 3, '0001': 8, '0011': 5, '1001': 7, '1101': 6, '0100': 15, '0010': 3, '0110': 7, '0000': 3, '1010': 4, '1110': 8, '1111': 2, '0101': 4, '1011': 11, '1100': 9}",-0.21733966959944,17.0,,-2.71733966959944,0.0,SPSA,4.0,3.0,[1 1 0 1],3.0,17.34660506248474,0.0
39,[  11098.87966717 -389737.10471103],qasm_simulator,"{'0000': 12, '0111': 1, '1010': 7, '1111': 8, '0001': 3, '0101': 10, '0011': 13, '1001': 14, '1101': 2, '1011': 1, '0010': 2, '0110': 15, '1100': 12}",-0.03521624088095,18.0,,-3.03521624088095,0.0,SPSA,4.0,1.0,[1 0 0 1],4.0,9.442777156829834,0.0
40,[-141376.75397039  104928.567323   -163464.5522484  -194064.04984951],qasm_simulator,"{'0111': 3, '1000': 5, '0001': 5, '0011': 10, '1001': 3, '1101': 2, '0100': 2, '0010': 2, '0110': 12, '0000': 6, '1010': 11, '1110': 6, '1111': 9, '0101': 9, '1011': 4, '1100': 11}",-0.18786436507671,18.0,,-3.18786436507671,0.0,SPSA,4.0,2.0,[1 0 0 1],4.0,12.159259557723999,0.0
41,"[ 42989.51587257  30328.99148028 -18198.90499926 -40888.33453913
  35211.8732886   23621.82437227]",qasm_simulator,"{'0000': 3, '0111': 13, '1000': 9, '1010': 2, '1110': 12, '1111': 1, '0001': 17, '0011': 1, '1001': 1, '1101': 7, '1011': 7, '0100': 12, '0010': 13, '1100': 2}",0.00467374808158,18.0,,-2.99532625191842,0.0,SPSA,4.0,3.0,[0 1 1 1],3.0,15.955602407455444,0.0
42,[10597.70047168  2806.23658765],qasm_simulator,"{'00111': 2, '01000': 1, '00001': 5, '11010': 6, '11111': 7, '10001': 1, '00011': 6, '01101': 1, '10100': 1, '11000': 1, '00100': 7, '00010': 5, '11001': 5, '00110': 4, '10111': 1, '00000': 9, '01110': 1, '11011': 7, '10011': 1, '11101': 7, '00101': 12, '01011': 1, '11100': 4, '11110': 5}",0.4250860279376,20.0,,-0.07491397206240002,0.0,SPSA,1.0,1.0,[0 1 0 1 1],0.0,6.679460287094116,0.0
